Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","Antenna_Chip","XDCR_2450AT18B100E",46.100000,-83.900000,-90.000000,top
"BT1","Battery_Cell","BatteryHolder_LINX_BAT-HLD-012-SMT",113.050000,-73.100000,0.000000,top
"C5","1.5pF","C_0603_1608Metric",54.467500,-72.998171,110.000000,top
"C6","1.5pF","C_0603_1608Metric",49.830000,-75.419341,-90.000000,top
"C7","2.2uF","C_0402_1005Metric",67.500000,-64.900000,-90.000000,top
"C13","1uF","C_0402_1005Metric",111.750000,-36.950000,0.000000,top
"C14","0.1uF","C_0402_1005Metric",109.820000,-48.850000,180.000000,top
"C15","10uF","C_0402_1005Metric",108.470000,-35.800000,180.000000,top
"C16","0.1uF","C_0402_1005Metric",108.520000,-37.650000,180.000000,top
"C17","0.1uF","C_0402_1005Metric",117.050000,-39.350000,-90.000000,top
"C18","0.1uF","C_0402_1005Metric",111.750000,-35.200000,0.000000,top
"C19","1uF","C_0402_1005Metric",109.850000,-47.300000,180.000000,top
"C20","0.1uF","C_0402_1005Metric",107.350000,-45.230000,-90.000000,top
"C21","0.1uF","C_0402_1005Metric",97.750000,-22.480000,-90.000000,top
"C22","0.1uF","C_0402_1005Metric",113.950000,-27.900000,90.000000,top
"C23","0.1uF","C_0402_1005Metric",113.950000,-32.430000,90.000000,top
"C25","1.2pF","C_0402_1005Metric",46.100000,-75.800000,90.000000,top
"C26","0.1uF","C_0402_1005Metric",110.832000,-50.375000,0.000000,top
"C27","0.1uF","C_0402_1005Metric",104.650000,-26.550000,90.000000,top
"C38","0.47uF","C_0402_1005Metric",69.660000,-53.590000,-90.000000,top
"C39","4.7uF","C_0402_1005Metric",61.100000,-54.300000,-90.000000,top
"C40","0.1uF","C_0402_1005Metric",102.812000,-51.875000,90.000000,top
"C41","0.1uF","C_0402_1005Metric",122.650000,-62.500000,180.000000,top
"C42","0.1uF","C_0402_1005Metric",122.200000,-36.830000,-90.000000,top
"C43","0.1uF","C_0402_1005Metric",122.200000,-40.010000,-90.000000,top
"C44","0.1uF","C_0402_1005Metric",122.250000,-43.310000,-90.000000,top
"C47","14pF","C_0402_1005Metric",56.330000,-70.400000,90.000000,top
"C48","14pF","C_0402_1005Metric",58.330000,-68.650000,180.000000,top
"C49","17pF","C_0402_1005Metric",59.580000,-84.350000,0.000000,top
"C50","17pF","C_0402_1005Metric",61.580000,-84.350000,180.000000,top
"C53","2.2uF","C_0402_1005Metric",54.450000,-78.950000,-90.000000,top
"C54","2.2uF","C_0402_1005Metric",53.300000,-78.900000,-90.000000,top
"C55","0.1uF","C_0402_1005Metric",52.200000,-78.900000,-90.000000,top
"C56","0.1uF","C_0402_1005Metric",53.350000,-76.200000,180.000000,top
"C57","2.2uF","C_0402_1005Metric",53.900000,-69.750000,180.000000,top
"C58","0.1uF","C_0402_1005Metric",53.900000,-68.650000,180.000000,top
"C59","10nF","C_0402_1005Metric",53.900000,-67.450000,180.000000,top
"C60","0.1uF","C_0402_1005Metric",57.850000,-81.700000,-90.000000,top
"C61","22uF","C_0402_1005Metric",69.280000,-56.600000,0.000000,top
"D1","D_Schottky","DO-214BA_MCH",124.150000,-49.550000,90.000000,top
"IC1","MAX6105EUR+T","SOT-23-3",123.600000,-65.300000,0.000000,top
"IC4","SPX3819S-L_TR","SOIC127P600X175-8N",72.500000,-64.400000,0.000000,top
"IC5","INA827AIDGK","SOP65P490X110-8N",118.175000,-27.275000,180.000000,top
"IC6","AD7175-8BCPZ-RL7","QFN50P600X600X80-41N-D",112.200000,-42.450000,-90.000000,top
"IC7","INA827AIDGK","SOP65P490X110-8N",118.150000,-31.950000,180.000000,top
"IC8","AD8591ARTZ-REEL7","SOT95P280X145-6N",101.350000,-27.000000,0.000000,top
"IC9","LSF0108PWR","SOP65P640X120-20N",107.812000,-54.875000,0.000000,top
"IC10","ESP32-S3","QFN40P700X700X90-57N-D",60.580000,-76.400000,0.000000,top
"IC11","LT3973EMSE-5#PBF","SOP50P490X110-11N",64.940000,-53.721000,0.000000,top
"J4","DB44 (Analog | Digital)","aaren_mouser_db44_screws",129.122000,-66.104950,90.000000,top
"L1","15uH","NRS4012T150MDGJ",74.650000,-54.470000,-90.000000,top
"L2","2.7nH","L_0603_1608Metric",52.330000,-74.419341,20.000000,top
"L3","2.7nH","L_0402_1005Metric",46.575000,-77.525000,180.000000,top
"L4","3.3nH","L_0402_1005Metric",46.075000,-79.275000,90.000000,top
"L5","2nH","L_0402_1005Metric",53.350000,-77.400000,0.000000,top
"R1","10k","R_0402_1005Metric",105.250000,-46.750000,-90.000000,top
"R2","DNP","R_0402_1005Metric",123.390000,-82.550000,180.000000,top
"R5","680R","R_0402_1005Metric",108.680000,-28.100000,0.000000,top
"R9","215k","R_0402_1005Metric",68.025000,-50.630000,0.000000,top
"R11","10k","R_0402_1005Metric",61.280000,-70.250000,90.000000,top
"R12","64.2k (0.1%)","R_0402_1005Metric",122.950000,-27.250000,90.000000,top
"R13","100R","R_0402_1005Metric",108.750000,-31.700000,180.000000,top
"R14","DNP","R_0402_1005Metric",123.440000,-79.150000,180.000000,top
"R25","64.2k (0.1%)","R_0402_1005Metric",122.900000,-32.010000,90.000000,top
"R33","20R","R_0402_1005Metric",101.390000,-30.100000,180.000000,top
"R48","1.6k","R_0402_1005Metric",124.350000,-36.780000,-90.000000,top
"R49","1.6k","R_0402_1005Metric",124.350000,-40.030000,-90.000000,top
"R50","120","R_1206_3216Metric",103.050000,-37.580000,0.000000,top
"R63","1.6k","R_0402_1005Metric",124.450000,-43.290000,-90.000000,top
"T1","749013011","749013011",67.315000,-39.046207,90.000000,top
"U1","Teensy4.1","Teensy41",87.918400,-51.128602,-90.000000,top
"Y1","ECS-400-10-37B2-CKY-TR","XTAL_ECS-400-10-37B2-CKY-TR",58.580000,-70.650000,0.000000,top
"Y2","ECS-.327-12.5-34B-TR","XTAL_ECS-.327-12.5-34B-TR",60.580000,-82.350000,180.000000,top
