Comment,Designator,Footprint,LCSC
ESP32-S3,IC10,wsg_fp:ESP32-S2FH2,
TPSM83100SIUR,PS3,wsg_fp:TPSM83100SIUR,
ADS1120IRVAR,U7,22xt_wsg_footprints:QFN50P350X350X100-17N-D,
