Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C58,0.1uF,C_0402_1005Metric,132.2,-94.644999,0,top
C59,10nF,C_0402_1005Metric,132.2,-93.654999,0,top
C6,1pF,C_0402_1005Metric,135.78,-95.7,-90,top
C60,0.1uF,C_0402_1005Metric,132.3628,-83.924999,90,top
C7,0.1uF,C_0402_1005Metric,119.38,-84.61,90,bottom
C8,0.1uF,C_0402_1005Metric,123.59,-85.27,180,top
C9,1uF,C_0402_1005Metric,123.62,-84.23,180,top
D1,LED,D_0402_1005Metric,128,-100.860001,180,bottom
IC1,W25N04KVZEIR,SON127P800X600X80-9N-D,111.225,-93.26,90,bottom
IC10,ESP32-S3,ESP32-S2FH2,128.96,-89.055,180,top
IC2,INA827AIDGK,INA827AIDGK,112.2628,-96.219999,0,top
IC3,MIC5504-3.3YM5-TR,MIC5501234 (3.3v ref),113.13,-85.62,0,bottom
IC4,INA827AIDGK,INA827AIDGK,112.1528,-91.884999,0,top
IC5,GD25Q64ESIG,GD25Q64ESIG,134.72,-87.82,270,bottom
IC6,INA827AIDGK,INA827AIDGK,112.2028,-87.884999,0,top
IC8,SPX3819S-L_TR,SOIC127P600X175-8N,125.17,-87.51,180,bottom
J1,USB4110-GF-A,USB4110-GF-A_GCT,141.9684,-86.75,90,top
J2,U.FL-R-SMT-1_10_,HRS_U.FL-R-SMT-1_10_antenna,139,-99.278897,180,top
J3,Conn_01x10,PinSocket_2x05_P2.00mm_Horizontal,102.32,-86.51,0,top
J4,Conn_01x02,JST_S2B-PH-K-S_LF__SN_-2pin_male,101.06,-94.8075,0,top
L2,2.4nH,L_0402_1005Metric,134.56,-93.975,90,top
L3,DNP,L_0402_1005Metric,139,-95.5,-140,top
L5,2nH,L_0402_1005Metric,134.18,-90.61,180,top
PS3,TPSM83100SIUR,TPSM83100SIUR,124.3628,-95.499999,-90,top
R1,80.6,R_0402_1005Metric,108.5328,-96.294999,-90,top
R10,120,R_0402_1005Metric,106.9628,-95.674999,180,top
R100,10k,R_0402_1005Metric,106.495,-80.64,-90,top
R11,120,R_0402_1005Metric,107.8428,-94.554999,0,top
R12,120,R_0402_1005Metric,107.9428,-93.359999,180,top
R13,120,R_0402_1005Metric,107.1228,-90.399999,0,top
R14,120,R_0402_1005Metric,106.7728,-91.559999,180,top
R15,120,R_0402_1005Metric,108.0928,-89.349999,180,top
R16,120,R_0402_1005Metric,108.0328,-85.119999,0,top
R17,120,R_0402_1005Metric,108.0028,-86.319999,180,top
R18,80.6,R_0402_1005Metric,108.3728,-91.869999,-90,top
R19,80.6,R_0402_1005Metric,108.4728,-87.889999,-90,top
R2,22R,R_0402_1005Metric,134.55,-86.64,180,top
R20,1k,R_0402_1005Metric,116.58,-95.61,0,top
R21,1k,R_0402_1005Metric,116.4728,-91.569999,0,top
R22,1k,R_0402_1005Metric,116.3628,-87.419999,0,top
R23,80.6k,R_0402_1005Metric,124.4328,-98.159999,0,top
R24,806k,R_0402_1005Metric,122.3628,-98.139999,0,top
R25,36.5k,R_0402_1005Metric,122.35,-84.19,180,bottom
R26,10k,R_0402_1005Metric,111.235,-80.83,90,top
R27,100k,R_0402_1005Metric,122.67,-80.63,90,bottom
R28,22R,R_0402_1005Metric,134.54,-85.58,180,top
R29,400,R_0402_1005Metric,113.09,-80.33,0,bottom
R3,2.1k,R_0402_1005Metric,121,-99.360001,0,bottom
R30,100k,R_0402_1005Metric,112.51,-81.5,0,bottom
R31,0,R_0402_1005Metric,120.75,-84.51,270,bottom
R4,1.5k,R_0402_1005Metric,128.5,-99,90,bottom
R45,22k,R_0402_1005Metric,124.5,-83.5,90,bottom
R5,120,R_0402_1005Metric,108.0328,-97.834999,180,top
R6,100k,R_0402_1005Metric,112.29,-99.66,180,bottom
R7,10k,R_0402_1005Metric,130.5,-98,180,bottom
R8,5.1k,R_0402_1005Metric,136.07,-82.48,180,top
R9,5.1k,R_0402_1005Metric,136.06,-80.93,180,top
SW3,SW_Push,NANOT100AS_butt,113.555,-81.85,-90,top
SW4,SW_Push,NANOT100AS_butt,108.845,-81.98,-90,top
U1,BQ21040DBVR,BQ21040DBVR,125.000001,-97.859999,0,bottom
U2,TPS2115APWR,TPS2115APW,118,-81.5,180,bottom
U4,AD5626BRMZ,SOP65P490X110-8N,120.94,-87.85,180,top
U7,ADS1120IRVAR,QFN50P350X350X100-17N-D,120.2928,-92.639999,-90,top
Y1,ECS-400-10-37B2-CKY-TR,XTAL_ECS-400-10-37B2-CKY-TR,128.92,-95.85,90,top
Y2,ECS-.327-12.5-34B-TR,XTAL_ECS-.327-12.5-34B-TR,127.81,-83.34,0,top
