Comment,Designator,Footprint,LCSC
4.7uF,"C10,C36",Capacitor_SMD:C_0402_1005Metric,C23733
100nF,"C8,C9,C12,C14,C16,C17,C18,C20,C21,C22,C23,C24,C26,C27,C28,C33,C34,C35,C37,C40,C41,C42,C43,C44,C45,C46,C55,C56,C58,C60",Capacitor_SMD:C_0402_1005Metric,C1525
10uF,"C11,C15,C38",Capacitor_SMD:C_0402_1005Metric,C15525
10nF,C59,Capacitor_SMD:C_0402_1005Metric,C15195
2.2uF,"C53,C54,C57",Capacitor_SMD:C_0402_1005Metric,C12530
ESP32-S3,IC10,22XT_Main:QFN40P700X700X90-57N-D,C2913192
AD7175-8BCPZ-RL7,IC6,22XT_Main:QFN50P600X600X80-41N-D,C578395
10k?,"R1,R100,R101",Resistor_SMD:R_0402_1005Metric,C25744
100k?,"R11,R60",Resistor_SMD:R_0402_1005Metric,C25741
100?,R13,Resistor_SMD:R_0402_1005Metric,C25076
200k?,R40,Resistor_SMD:R_0402_1005Metric,C25764
ECS-400-10-37B2-CKY-TR,Y1,22XT_Main:XTAL_ECS-400-10-37B2-CKY-TR,C5357833
ECS-.327-12.5-34B-TR,Y2,22XT_Main:XTAL_ECS-.327-12.5-34B-TR,C387600
