Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R24,352R (0.1%),R_0402_1005Metric,117.652,-60.30495,0,top
R25,64.2k (0.1%),R_0402_1005Metric,113.502,-57.20495,-90,top
R26,DNP,R_0402_1005Metric,94.15,-53.4,90,top
R29,DNP,R_0402_1005Metric,91.05,-53.4,-90,top
R30,DNP,R_0402_1005Metric,94.15,-56.54,-90,top
R31,DNP,R_0402_1005Metric,91.7,-56.6,90,top
R32,DNP,R_0402_1005Metric,94.25,-60.4,90,top
R33,20R,R_0402_1005Metric,90.476,-25.05495,-90,top
R34,DNP,R_0402_1005Metric,97.1,-60.3,-90,top
R38,352R (0.1%),R_0402_1005Metric,120.012,-61.75495,0,top
R39,352R (0.1%),R_0402_1005Metric,120.002,-60.30495,0,top
R40,200k,R_0402_1005Metric,108.842,-50.87495,90,top
R41,1.6k,R_0402_1005Metric,98.892,-36.37495,180,top
R42,1.6k,R_0402_1005Metric,98.892,-38.32495,180,top
R43,1.6k,R_0402_1005Metric,98.942,-40.37495,180,top
R44,1.6k,R_0402_1005Metric,115.582,-41.65495,0,top
R46,1.6k,R_0402_1005Metric,115.572,-39.55495,0,top
R47,400R,R_0402_1005Metric,90.977,-69.35495,-90,top
R48,1.6k,R_0402_1005Metric,115.522,-37.45495,0,top
R49,1.6k,R_0402_1005Metric,119.752,-39.50495,0,top
R55,1.07k,R_0402_1005Metric,97.2,-53.4,-90,top
R56,1.07k,R_0402_1005Metric,96.65,-56.55,90,top
R57,1.07k,R_0402_1005Metric,91.65,-60.25,-90,top
R60,100k,R_0402_1005Metric,92.55,-65.55,180,top
R61,1.07k,R_0402_1005Metric,91.85,-62.9,90,top
R63,1.6k,R_0402_1005Metric,119.752,-37.35495,0,top
R64,1.6k,R_0402_1005Metric,119.652,-34.80495,0,top
R65,1.6k,R_0402_1005Metric,114.552,-33.83495,0,top
R100,10k,R_0402_1005Metric,52.5,-75.6,90,top
R101,10k,R_0402_1005Metric,57.98,-70.14505,-90,top
T1,749013011,749013011,61,-52,90,top
U1,Teensy4.1,Teensy41,79.382,-52.67495,-90,top
U2,AD5689RARUZ-RL7,RU_16_ADI,105.3131,-61.80495,0,top
U4,TPS2115APWR,SOP65P640X120-8N,95.672,-67.87995,0,top
Y1,ECS-400-10-37B2-CKY-TR,XTAL_ECS-400-10-37B2-CKY-TR,55.48,-69.75,0,top
Y2,ECS-.327-12.5-34B-TR,XTAL_ECS-.327-12.5-34B-TR,57.48,-81.45,180,top
