Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R16,120,R_0402_1005Metric,108.0328,-85.119999,0.0,top
R17,120,R_0402_1005Metric,108.0028,-86.319999,180.0,top
R18,80.6,R_0402_1005Metric,108.3728,-91.869999,-90.0,top
R19,80.6,R_0402_1005Metric,108.4728,-87.889999,-90.0,top
R2,22R,R_0402_1005Metric,134.55,-86.64,180.0,top
R20,1k,R_0402_1005Metric,116.58,-95.61,0.0,top
R21,1k,R_0402_1005Metric,116.4728,-91.569999,0.0,top
R22,1k,R_0402_1005Metric,116.3628,-87.419999,0.0,top
R23,80.6k,R_0402_1005Metric,124.4328,-98.159999,0.0,top
R24,806k,R_0402_1005Metric,122.3628,-98.139999,0.0,top
R25,36.5k,R_0402_1005Metric,122.35,-84.19,180.0,bottom
R26,10k,R_0402_1005Metric,116.58,-80.83,90.0,top
R27,DNP,R_0402_1005Metric,106.99,-80.74,90.0,top
R28,22R,R_0402_1005Metric,134.54,-85.58,180.0,top
R3,2.1k,R_0402_1005Metric,121.0,-99.360001,0.0,bottom
R4,1.5k,R_0402_1005Metric,128.5,-99.0,90.0,bottom
R45,22k,R_0402_1005Metric,123.76,-83.48,90.0,bottom
R5,120,R_0402_1005Metric,108.0328,-97.834999,180.0,top
R6,100k,R_0402_1005Metric,112.29,-99.66,180.0,bottom
R7,10k,R_0402_1005Metric,130.5,-98.0,180.0,bottom
R8,5.1k,R_0402_1005Metric,136.07,-82.48,180.0,top
R9,5.1k,R_0402_1005Metric,136.06,-80.93,180.0,top
SW1,SW_Push,NANOT100AS_butt,109.49,-82.04,-90.0,top
SW3,SW_Push,NANOT100AS_butt,118.9,-81.85,-90.0,top
SW4,SW_Push,NANOT100AS_butt,114.19,-81.98,-90.0,top
U1,BQ21040DBVR,BQ21040DBVR,125.000001,-97.859999,0.0,bottom
U4,AD5626BRMZ,SOP65P490X110-8N,120.94,-87.85,180.0,top
U7,ADS1120IRVAR,QFN50P350X350X100-17N-D,120.2928,-92.639999,-90.0,top
Y1,ECS-400-10-37B2-CKY-TR,XTAL_ECS-400-10-37B2-CKY-TR,128.92,-95.85,90.0,top
Y2,ECS-.327-12.5-34B-TR,XTAL_ECS-.327-12.5-34B-TR,127.81,-83.34,0.0,top
